experiment,mode,control,paired_end,genome,strand_specific,moeity,ip_type,sample_name,read_length,GSM,Group,Species,Cell,Genotype,Other,Condition,Replicate,ControlType,Shearing_method,SRX,mode_group,clean_name,corr_min,corr_max,corr_median,corr_mean,corr_sd,corr_skewness,corr_kurtosis,corr_method,rlfs_min,rlfs_max,rlfs_median,rlfs_mean,rlfs_sd,rlfs_skewness,rlfs_kurtosis,rlfs_method,rlfs_pval,3UTR__Number of peaks,3UTR__Total size (bp),3UTR__Log2 Ratio (obs/exp),3UTR__LogP enrichment (+values depleted),Retroposon__Number of peaks,Retroposon__Total size (bp),Retroposon__Log2 Ratio (obs/exp),Retroposon__LogP enrichment (+values depleted),RNA__Number of peaks,RNA__Total size (bp),RNA__Log2 Ratio (obs/exp),RNA__LogP enrichment (+values depleted),miRNA__Number of peaks,miRNA__Total size (bp),miRNA__Log2 Ratio (obs/exp),miRNA__LogP enrichment (+values depleted),ncRNA__Number of peaks,ncRNA__Total size (bp),ncRNA__Log2 Ratio (obs/exp),ncRNA__LogP enrichment (+values depleted),TTS__Number of peaks,TTS__Total size (bp),TTS__Log2 Ratio (obs/exp),TTS__LogP enrichment (+values depleted),LINE__Number of peaks,LINE__Total size (bp),LINE__Log2 Ratio (obs/exp),LINE__LogP enrichment (+values depleted),srpRNA__Number of peaks,srpRNA__Total size (bp),srpRNA__Log2 Ratio (obs/exp),srpRNA__LogP enrichment (+values depleted),SINE__Number of peaks,SINE__Total size (bp),SINE__Log2 Ratio (obs/exp),SINE__LogP enrichment (+values depleted),RC__Number of peaks,RC__Total size (bp),RC__Log2 Ratio (obs/exp),RC__LogP enrichment (+values depleted),tRNA__Number of peaks,tRNA__Total size (bp),tRNA__Log2 Ratio (obs/exp),tRNA__LogP enrichment (+values depleted),pseudo__Number of peaks,pseudo__Total size (bp),pseudo__Log2 Ratio (obs/exp),pseudo__LogP enrichment (+values depleted),DNA__Number of peaks,DNA__Total size (bp),DNA__Log2 Ratio (obs/exp),DNA__LogP enrichment (+values depleted),Exon__Number of peaks,Exon__Total size (bp),Exon__Log2 Ratio (obs/exp),Exon__LogP enrichment (+values depleted),Intron__Number of peaks,Intron__Total size (bp),Intron__Log2 Ratio (obs/exp),Intron__LogP enrichment (+values depleted),Intergenic__Number of peaks,Intergenic__Total size (bp),Intergenic__Log2 Ratio (obs/exp),Intergenic__LogP enrichment (+values depleted),Promoter__Number of peaks,Promoter__Total size (bp),Promoter__Log2 Ratio (obs/exp),Promoter__LogP enrichment (+values depleted),5UTR__Number of peaks,5UTR__Total size (bp),5UTR__Log2 Ratio (obs/exp),5UTR__LogP enrichment (+values depleted),snoRNA__Number of peaks,snoRNA__Total size (bp),snoRNA__Log2 Ratio (obs/exp),snoRNA__LogP enrichment (+values depleted),scRNA__Number of peaks,scRNA__Total size (bp),scRNA__Log2 Ratio (obs/exp),scRNA__LogP enrichment (+values depleted),CpG-Island__Number of peaks,CpG-Island__Total size (bp),CpG-Island__Log2 Ratio (obs/exp),CpG-Island__LogP enrichment (+values depleted),Low_complexity__Number of peaks,Low_complexity__Total size (bp),Low_complexity__Log2 Ratio (obs/exp),Low_complexity__LogP enrichment (+values depleted),LTR__Number of peaks,LTR__Total size (bp),LTR__Log2 Ratio (obs/exp),LTR__LogP enrichment (+values depleted),Simple_repeat__Number of peaks,Simple_repeat__Total size (bp),Simple_repeat__Log2 Ratio (obs/exp),Simple_repeat__LogP enrichment (+values depleted),snRNA__Number of peaks,snRNA__Total size (bp),snRNA__Log2 Ratio (obs/exp),snRNA__LogP enrichment (+values depleted),Unknown__Number of peaks,Unknown__Total size (bp),Unknown__Log2 Ratio (obs/exp),Unknown__LogP enrichment (+values depleted),Satellite__Number of peaks,Satellite__Total size (bp),Satellite__Log2 Ratio (obs/exp),Satellite__LogP enrichment (+values depleted),rRNA__Number of peaks,rRNA__Total size (bp),rRNA__Log2 Ratio (obs/exp),rRNA__LogP enrichment (+values depleted),Other__Number of peaks,Other__Total size (bp),Other__Log2 Ratio (obs/exp),Other__LogP enrichment (+values depleted),ARTEFACT__Number of peaks,ARTEFACT__Total size (bp),ARTEFACT__Log2 Ratio (obs/exp),ARTEFACT__LogP enrichment (+values depleted),miscRNA__Number of peaks,miscRNA__Total size (bp),miscRNA__Log2 Ratio (obs/exp),miscRNA__LogP enrichment (+values depleted),MACS2__Distinct Peak Count,EPIC2__Distinct Peak Count,MACS2__Overlapping Peak Count,EPIC2__Overlapping Peak Count,MACS2__Percentage Peaks Overlapping,EPIC2__Percentage Peaks Overlapping,MACS2__total_peaks,EPIC2__total_peaks,reads_before,reads_after,percent_passing,gc_content,read_length_after_filter,reads_aligned,pct_aligned,duplicate_reads,pct_duplicated
SRR5379771,R-ChIP,SRR5379772,FALSE,hg38,TRUE,RNA,RNaseH1,SRX2675003_HKE293-D210N-V5ChIP-Rep1,40,GSM2550993,Fu,HS,HEK293T,D210N,NT,D210N,0,Input,SON,SRX2675003,R-ChIP,R-ChIP_HEK293T_Fu_D210N_SRX2675003,0.104581022326398,1,0.776175327180517,0.722424848972928,0.171886202448244,-2.83260504253511,12.1123043094745,unbiased,-5000,5000,0,8.89821543887179,1003.0697808307,0.123768624042488,8.11685597821798,unbiased,2.699837725867246,       26.000, 26841961.000,       -0.957,        9.147,        2.000,  4060956.000,       -1.933,        4.007,        0.000,   107795.000,       -0.266,        0.203,        0.000,    97618.000,       -0.243,        0.184,       26.000,  7049501.000,        0.972,       -6.688,       97.000, 32438611.000,        0.669,      -11.365,      109.000,627787645.000,       -3.437,      932.837,        0.000,   261723.000,       -0.577,        0.492,       16.000,377735426.000,       -5.472,      682.055,        0.000,   359494.000,       -0.745,        0.676,       42.000,    93590.000,        7.899,     -191.060,        5.000,  2104476.000,        0.337,       -1.014,        0.000, 99068437.000,       -7.597,      189.407,      225.000, 37191615.000,        1.686,     -113.246,      450.000,654834449.000,       -1.452,      396.491,      414.000,744531397.000,       -1.758,      590.345,     3373.000, 36029383.000,        5.638,   -11124.949,      226.000,  2602176.000,        5.529,     -652.998,        0.000,      357.000,       -0.001,        0.001,        0.000,   121889.000,       -0.298,        0.229,      592.000,  8970258.000,        5.133,    -1565.336,       15.000,  5407922.000,        0.561,       -2.382,       17.000,258147707.000,       -4.836,      434.174,       70.000, 33940870.000,        0.133,       -1.451,        3.000,   312907.000,        2.350,       -3.818,        0.000,   713855.000,       -1.228,        1.343,        3.000, 74274373.000,       -5.541,      128.290,        0.000,   213896.000,       -0.488,        0.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  102.0,30042.0, 5712.0, 5574.0,   98.2,   15.7, 5814.0,35616.0,22405416,21372389,95.4,0.451706,40,16259409,76.07670345135492,10063425,47.08610254099343
SRR5379773,R-ChIP,SRR5379774,FALSE,hg38,TRUE,RNA,RNaseH1,SRX2675005_HKE293-D210N-V5ChIP-Rep2,40,GSM2550997,Fu,HS,HEK293T,D210N,NT,D210N,0,Input,SON,SRX2675005,R-ChIP,R-ChIP_HEK293T_Fu_D210N_SRX2675005,0.0881475575359061,1,0.690873071933555,0.653429317578921,0.161540930449621,-2.45878281947497,11.4907870301233,unbiased,-5000,5000,0,-5.49571400744137,1281.63801492384,0.0284909701908442,6.88864737704313,unbiased,2.699837725867246,        3.000, 26838973.000,       -0.981,        1.852,        1.000,  4059128.000,        0.159,       -0.524,        0.000,   107795.000,       -0.034,        0.024,        0.000,    97618.000,       -0.031,        0.022,        4.000,  7044920.000,        1.363,       -2.624,       13.000, 32417432.000,        0.862,       -3.489,        3.000,627602723.000,       -5.529,      141.464,        0.000,   261723.000,       -0.081,        0.058,        3.000,377650594.000,       -4.796,       77.105,        0.000,   359494.000,       -0.110,        0.079,       30.000,    93444.000,       10.506,     -191.776,        0.000,  2102880.000,       -0.550,        0.464,        1.000, 99057198.000,       -4.450,       19.066,       17.000, 37186867.000,        1.051,       -5.405,       25.000,654808401.000,       -2.531,       90.682,       84.000,744083618.000,       -0.967,       32.454,      432.000, 36006237.000,        5.765,    -1486.066,       18.000,  2602068.000,        4.970,      -47.138,        0.000,      357.000,        0.000,        0.000,        0.000,   121889.000,       -0.038,        0.027,       31.000,  8937303.000,        3.974,      -59.562,        1.000,  5403744.000,       -0.254,        0.408,        0.000,258074822.000,       -5.983,       59.526,        2.000, 33842785.000,       -1.901,        3.899,        2.000,   312797.000,        4.857,       -6.087,        0.000,   713543.000,       -0.211,        0.158,        0.000, 74135823.000,       -4.152,       16.565,        0.000,   199669.000,       -0.062,        0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    3.0,16990.0,  670.0,  651.0,   99.6,    3.7,  673.0,17641.0,17763614,17531175,98.7,0.43161,40,13705815,78.1796713568828,2233197,12.738433105596172
SRR5379775,R-ChIP,SRR5379776,FALSE,hg38,TRUE,RNA,RNaseH1,SRX2675007_HKE293-D210N-V5ChIP-Rep3,40,GSM2551001,Fu,HS,HEK293T,D210N,NT,D210N,0,Input,SON,SRX2675007,R-ChIP,R-ChIP_HEK293T_Fu_D210N_SRX2675007,0.114415054230535,1,0.768448517483219,0.709858675269252,0.169210036234056,-2.60708522883814,11.1470325016851,unbiased,-5000,5000,0,16.731336596413,1140.57148827879,0.154412770553051,7.58063981338368,unbiased,2.699837725867246,        3.000, 26838973.000,       -1.853,        5.220,        0.000,  4059128.000,       -1.401,        1.640,        0.000,   107795.000,       -0.061,        0.044,        0.000,    97618.000,       -0.056,        0.039,        7.000,  7047281.000,        1.298,       -3.643,       31.000, 32420697.000,        1.243,      -11.068,        3.000,627607949.000,       -6.401,      268.426,        0.000,   261723.000,       -0.145,        0.106,        5.000,377655038.000,       -4.931,      141.837,        0.000,   359494.000,       -0.196,        0.145,       40.000,    93518.000,       10.049,     -242.052,        1.000,  2104476.000,        0.235,       -0.557,        0.000, 99057547.000,       -5.404,       40.672,       50.000, 37186867.000,        1.735,      -28.189,       33.000,654809337.000,       -3.002,      191.172,      105.000,744097127.000,       -1.517,      107.291,      808.000, 36009540.000,        5.796,    -2805.063,       43.000,  2602068.000,        5.355,     -121.137,        0.000,      357.000,        0.000,        0.000,        0.000,   121889.000,       -0.069,        0.049,       83.000,  8938398.000,        4.523,     -186.520,        1.000,  5403744.000,       -1.126,        1.025,        1.000,258079066.000,       -6.704,      104.179,        5.000, 33843083.000,       -1.451,        5.007,        6.000,   312841.000,        5.570,      -19.112,        0.000,   713543.000,       -0.365,        0.288,        1.000, 74135823.000,       -4.904,       26.855,        0.000,   199669.000,       -0.112,        0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    7.0,18527.0, 1226.0, 1208.0,   99.4,    6.1, 1233.0,19735.0,8799855,8524113,96.9,0.445308,40,6399842,75.07927217764477,951276,11.15982390191214
SRR5379777,R-ChIP,SRR5379778,FALSE,hg38,TRUE,RNA,RNaseH1,SRX2675009_HKE293-WKKD-V5ChIP,40,GSM2551004,Fu,HS,HEK293T,WKKD,NT,WKKD,0,Input,SON,SRX2675009,R-ChIP,R-ChIP_HEK293T_Fu_WKKD_SRX2675009,-0.000303711383548636,0.536812576350746,0.316012492343081,0.30038239260697,0.114116523531174,-0.66750240704274,4.09684436149586,unbiased,-5000,5000,400,891.568063106283,1701.01002136512,0.546428025129622,2.05661045134607,unbiased,1.3018977171952082,       0.000, 3040216.000,      -0.023,       0.016,       0.000,  498305.000,      -0.004,       0.003,       0.000,   15220.000,       0.000,       0.000,       0.000,   14054.000,       0.000,       0.000,       0.000,  876534.000,      -0.007,       0.005,       0.000, 3490214.000,      -0.027,       0.019,       0.000,79371428.000,      -0.618,       0.474,       0.000,   29123.000,       0.000,       0.000,       0.000,45815700.000,      -0.353,       0.260,       0.000,   58989.000,       0.000,       0.000,       0.000,    8273.000,       0.000,       0.000,       0.000,  225015.000,      -0.002,       0.001,       0.000,13443592.000,      -0.103,       0.073,       0.000, 4316971.000,      -0.033,       0.023,       0.000,90781917.000,      -0.711,       0.553,       1.000,86767276.000,       1.116,      -0.896,       1.000, 3809362.000,       5.625,      -3.904,       0.000,  284908.000,      -0.002,       0.002,       0.000,      24.000,       0.000,       0.000,       0.000,   14629.000,       0.000,       0.000,       0.000, 1066313.000,      -0.008,       0.006,       0.000,  698927.000,      -0.005,       0.004,       0.000,31636020.000,      -0.243,       0.176,       0.000, 4576323.000,      -0.035,       0.024,       0.000,   38172.000,       0.000,       0.000,       0.000,   98514.000,      -0.001,       0.001,       0.000, 4830342.000,      -0.037,       0.026,       0.000,   22235.000,       0.000,       0.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    0,14634,    2,    2,  100,    0,    2,14636,12734577,12610857,99,0.415875,40,9764721,77.43106594579575,1364074,10.81666376837038
SRR5379779,R-ChIP,NA,FALSE,hg38,TRUE,RNA,RNaseH1,SRX2675011_HKE293-ΔHC-V5ChIP,40,GSM2551006,Fu,HS,HEK293T,delta-HC,NT,delta-HC,0,None,SON,SRX2675011,R-ChIP,R-ChIP_HEK293T_Fu_delta-HC_SRX2675011,0.0727621071704032,0.742232647805831,0.647676858725772,0.612373482214323,0.143839303252351,-3.26879109320606,13.6954996899455,unbiased,-5000,5000,-50,-78.7740453307544,1237.1666133607,-0.196002375918876,7.08118054469787,unbiased,2.699837725867246,      115.000, 26946889.000,       -0.188,        2.473,        8.000,  4101361.000,       -1.318,        6.142,        0.000,   108322.000,       -0.610,        0.527,        1.000,    97618.000,        1.075,       -0.973,       42.000,  7133763.000,        0.276,       -2.079,      245.000, 32794432.000,        0.619,      -22.558,     4330.000,635436541.000,        0.487,     -291.296,        0.000,   262923.000,       -1.188,        1.279,       71.000,380994673.000,       -4.706,     1668.094,        0.000,   363157.000,       -1.468,        1.766,       19.000,    95888.000,        5.349,      -54.290,        9.000,  2145759.000,       -0.213,        0.904,       30.000, 99651247.000,       -4.014,      380.690,      320.000, 37457559.000,        0.813,      -46.079,     3713.000,657584692.000,        0.216,      -53.950,     2486.000,784386260.000,       -0.618,      343.371,     1882.000, 36419741.000,        3.410,    -2848.959,      125.000,  2621937.000,        3.293,     -176.741,        0.000,      357.000,       -0.003,        0.002,        0.000,   122456.000,       -0.674,        0.595,      480.000,  9075035.000,        3.443,     -719.994,      185.000,  5503940.000,        2.789,     -203.625,      405.000,263255316.000,       -1.660,      439.805,      580.000, 35192434.000,        1.761,     -308.473,        3.000,   316436.000,        0.963,       -1.605,        1.000,   714426.000,       -1.797,        1.976,       29.000, 76249103.000,       -3.676,      274.350,        0.000,   219202.000,       -1.047,        1.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1565.0,39462.0,15080.0,14960.0,   90.6,   27.5,16645.0,54422.0,25174573,23535620,93.5,0.440172,40,18205180,77.35160577881526,9311258,39.5624079586601
SRR5379780,R-ChIP,SRR5379782,FALSE,hg38,TRUE,RNA,RNaseH1,SRX2675012_K562-D210N-V5ChIP-Rep1,40,GSM2551007,Fu,HS,K562,D210N,NT,D210N,1,Input,SON,SRX2675012,R-ChIP,R-ChIP_K562_Fu_D210N_SRX2675012,0.170700130846272,1,0.734371832853995,0.71262813523325,0.176238298391319,-1.46235138921871,6.12530395277508,unbiased,-5000,5000,0,0.291069411471434,964.342674840388,-0.0169256302015133,9.25476573745679,unbiased,2.699837725867246,        7.000, 26896057.000,       -2.363,       19.342,        1.000,  4082555.000,       -2.450,        3.601,        0.000,   108078.000,       -0.195,        0.145,        0.000,    97618.000,       -0.177,        0.131,       20.000,  7090179.000,        1.075,       -6.257,       66.000, 32624798.000,        0.596,       -6.991,       42.000,628584317.000,       -4.324,      768.015,        0.000,   262737.000,       -0.435,        0.352,       24.000,378314896.000,       -4.399,      443.003,        0.000,   359856.000,       -0.567,        0.482,       59.000,    95465.000,        8.851,     -306.460,        3.000,  2125327.000,        0.076,       -0.614,        2.000, 99175291.000,       -6.053,      125.815,      139.000, 37356926.000,        1.475,      -57.037,      125.000,655638360.000,       -2.812,      594.742,      296.000,745355377.000,       -1.753,      420.212,     2765.000, 36254302.000,        5.832,    -9712.757,      148.000,  2612571.000,        5.403,     -415.757,        0.000,      357.000,       -0.001,        0.000,        2.000,   122197.000,        3.612,       -4.422,      299.000,  8968082.000,        4.638,     -688.398,       11.000,  5412559.000,        0.602,       -2.148,       45.000,258565789.000,       -2.943,      223.884,       12.000, 33879227.000,       -1.918,       19.409,        5.000,   313748.000,        3.573,       -9.475,        0.000,   713895.000,       -0.968,        0.956,        0.000, 74159572.000,       -6.683,      100.509,        0.000,   199950.000,       -0.342,        0.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   98.0,11202.0, 4071.0, 3961.0,   97.6,   26.1, 4169.0,15163.0,25743219,25305275,98.3,0.429812,40,19451461,76.86721839616443,8593721,33.9601960460813
SRR5379781,R-ChIP,SRR5379782,FALSE,hg38,TRUE,RNA,RNaseH1,SRX2675013_K562-D210N-V5ChIP-Rep2,40,GSM2551008,Fu,HS,K562,D210N,NT,D210N,2,Input,SON,SRX2675013,R-ChIP,R-ChIP_K562_Fu_D210N_SRX2675013,0.15158093286948,1,0.712468011392863,0.685876836891524,0.178033212652892,-1.23714314387225,5.6032337798039,unbiased,-5000,5000,0,10.3443700725006,1017.66338730593,0.0160797557036382,8.47559432038107,unbiased,2.699837725867246,        2.000, 26892159.000,       -3.315,       14.583,        1.000,  4079217.000,       -1.594,        1.629,        0.000,   108078.000,       -0.111,        0.080,        0.000,    97618.000,       -0.101,        0.072,        8.000,  7089879.000,        0.609,       -1.832,       46.000, 32606727.000,        0.931,      -10.053,       16.000,628555289.000,       -4.861,      449.755,        0.000,   262403.000,       -0.256,        0.194,       15.000,378246711.000,       -4.222,      240.280,        0.000,   359856.000,       -0.341,        0.266,       60.000,    95393.000,        9.731,     -348.544,        1.000,  2123655.000,       -0.652,        0.627,        1.000, 99170653.000,       -6.197,       70.264,       68.000, 37346242.000,        1.299,      -23.754,       68.000,655567988.000,       -2.835,      332.189,      223.000,745312026.000,       -1.306,      159.639,     1482.000, 36235691.000,        5.788,    -5133.876,       73.000,  2612444.000,        5.239,     -198.178,        0.000,      357.000,        0.000,        0.000,        0.000,   122197.000,       -0.125,        0.090,      144.000,  8965404.000,        4.440,     -313.429,        2.000,  5411777.000,       -1.002,        1.439,       26.000,258538766.000,       -2.879,      122.297,        6.000, 33876101.000,       -2.063,       12.141,        8.000,   313748.000,        5.107,      -22.505,        0.000,   713653.000,       -0.612,        0.528,        0.000, 74159572.000,       -5.839,       55.556,        0.000,   199869.000,       -0.199,        0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   42.0,10521.0, 2250.0, 2182.0,   98.2,   17.2, 2292.0,12703.0,21558105,21190261,98.3,0.421161,40,16460834,77.68112908094903,7220243,34.07340287125298
SRR5379783,R-ChIP,NA,FALSE,hg38,TRUE,RNA,RNaseH1,SRX2675016_HKE293-DRB--V5ChIP-Rep1,40,GSM2551010,Fu,HS,HEK293T,D210N,NT,D210N,1,None,SON,SRX2675016,R-ChIP,R-ChIP_HEK293T_Fu_D210N_SRX2675016,0.126748874733916,1,0.791796918342995,0.739638319549001,0.168545032422028,-2.86176430745717,12.1919227458795,unbiased,-5000,5000,0,16.0346817764473,942.744178338471,0.161624200650922,9.64568466109302,unbiased,2.699837725867246,        7.000, 26895147.000,       -1.954,       12.335,        0.000,  4081222.000,       -2.357,        4.120,        0.000,   108078.000,       -0.149,        0.109,        0.000,    97618.000,       -0.136,        0.098,        9.000,  7092099.000,        0.331,       -1.234,       57.000, 32623669.000,        0.792,       -9.445,      131.000,628793818.000,       -2.276,      348.573,        0.000,   262133.000,       -0.339,        0.264,       10.000,378342012.000,       -5.254,      361.872,        0.000,   359856.000,       -0.447,        0.363,       41.000,    95288.000,        8.737,     -210.423,        0.000,  2121737.000,       -1.652,        2.141,        2.000, 99180399.000,       -5.645,       93.111,       92.000, 37350990.000,        1.288,      -30.961,      134.000,655582494.000,       -2.303,      370.497,      216.000,745844278.000,       -1.800,      327.899,     1984.000, 36254433.000,        5.762,    -6812.362,      102.000,  2612552.000,        5.274,     -278.360,        0.000,      357.000,       -0.001,        0.000,        0.000,   122197.000,       -0.168,        0.123,      207.000,  8990012.000,        4.513,     -459.598,        3.000,  5416124.000,       -0.865,        1.582,       15.000,258649056.000,       -4.121,      215.755,       46.000, 34126923.000,        0.418,       -3.405,        4.000,   313843.000,        3.659,       -8.032,        0.000,   713653.000,       -0.782,        0.720,        9.000, 74546974.000,       -3.063,       49.722,        0.000,   215961.000,       -0.284,        0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   67.0,22195.0, 3069.0, 3035.0,   97.9,   12.0, 3136.0,25230.0,12794301,12592536,98.4,0.424492,40,9871815,78.39417731265569,3397967,26.983976857401874
SRR5379785,R-ChIP,NA,FALSE,hg38,TRUE,RNA,RNaseH1,SRX2675017_HKE293-DRB--V5ChIP-Rep2,40,GSM2551011,Fu,HS,HEK293T,D210N,NT,D210N,2,None,SON,SRX2675017,R-ChIP,R-ChIP_HEK293T_Fu_D210N_SRX2675017,0.153516885220289,1,0.793368417406415,0.743432548189981,0.163781683820752,-2.80201517657277,11.9274731415713,unbiased,-5000,5000,0,12.037491651279,957.017357053679,0.176569497772428,9.74867931570256,unbiased,2.699837725867246,        8.000, 26892159.000,       -1.774,       11.227,        2.000,  4082931.000,       -1.055,        1.532,        0.000,   108078.000,       -0.151,        0.110,        0.000,    97618.000,       -0.137,        0.099,       10.000,  7090406.000,        0.471,       -1.652,       52.000, 32612845.000,        0.648,       -6.557,      160.000,628706385.000,       -1.999,      305.199,        0.000,   262133.000,       -0.341,        0.267,        9.000,378313731.000,       -5.418,      369.047,        0.000,   359856.000,       -0.450,        0.366,       36.000,    95288.000,        8.537,     -180.026,        1.000,  2121737.000,       -1.110,        1.009,        3.000, 99179865.000,       -5.072,       90.411,      104.000, 37346242.000,        1.453,      -42.222,      153.000,655557382.000,       -2.124,      342.833,      229.000,745828216.000,       -1.728,      314.773,     1955.000, 36245122.000,        5.728,    -6641.752,      111.000,  2612444.000,        5.384,     -311.061,        0.000,      357.000,       -0.001,        0.000,        0.000,   122197.000,       -0.169,        0.124,      187.000,  8972530.000,        4.356,     -395.493,        2.000,  5414347.000,       -1.462,        2.434,       22.000,258633726.000,       -3.580,      198.914,       38.000, 34140215.000,        0.130,       -1.168,        5.000,   313882.000,        3.969,      -10.763,        0.000,   713653.000,       -0.788,        0.726,        8.000, 74359421.000,       -3.241,       52.293,        0.000,   214096.000,       -0.284,        0.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,   94.0,19836.0, 3095.0, 3063.0,   97.1,   13.4, 3189.0,22899.0,13197729,12986051,98.4,0.426949,40,10144160,78.11581827300694,3966227,30.542210253140077
SRR5379786,R-ChIP,NA,FALSE,hg38,TRUE,RNA,RNaseH1,SRX2675018_HKE293-DRBand-V5ChIP-Rep1,40,GSM2551012,Fu,HS,HEK293T,D210N,DRB,D210N,1,None,SON,SRX2675018,R-ChIP,R-ChIP_HEK293T_Fu_D210N_SRX2675018,0.150439162246233,1,0.758696769063068,0.707476785227025,0.174192598610446,-1.82240892519573,7.85934379734166,unbiased,-5000,5000,0,-3.07434617844889,973.911741427004,0.0372887113595214,10.2485228696941,unbiased,2.699837725867246,       45.000, 26888908.000,       -1.598,       44.100,        1.000,  4081272.000,       -4.370,       17.617,        0.000,   108039.000,       -0.630,        0.547,        1.000,    97618.000,        1.015,       -0.941,       95.000,  7094659.000,        1.402,      -36.105,      254.000, 32616857.000,        0.620,      -23.332,     1262.000,634469503.000,       -1.349,      922.490,        0.000,   262581.000,       -1.221,        1.331,       60.000,380396096.000,       -5.006,     1783.754,        0.000,   362795.000,       -1.505,        1.839,       43.000,    94264.000,        6.492,     -153.826,       14.000,  2131636.000,        0.374,       -1.606,       11.000, 99534147.000,       -5.519,      461.335,      707.000, 37297530.000,        1.903,     -427.361,     1483.000,656818874.000,       -1.166,      781.906,      868.000,783124901.000,       -2.193,     2163.308,     8297.000, 36201800.000,        5.499,   -26155.252,      573.000,  2611574.000,        5.436,    -1613.527,        0.000,      357.000,       -0.003,        0.002,        0.000,   122148.000,       -0.695,        0.619,     1576.000,  9057075.000,        5.102,    -4124.986,       37.000,  5495241.000,        0.410,       -2.896,      179.000,262774828.000,       -2.895,      841.835,      160.000, 35146736.000,       -0.155,        2.400,        6.000,   315610.000,        1.907,       -5.112,        0.000,   714316.000,       -2.208,        3.620,       14.000, 76000362.000,       -4.782,      331.394,        0.000,   219002.000,       -1.077,        1.110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1576.0,22245.0,15688.0,14956.0,   90.9,   40.2,17264.0,37201.0,16754096,16475809,98.3,0.438559,40,12988955,78.83652329302919,3195657,19.396055149704637
SRR5379787,R-ChIP,NA,FALSE,hg38,TRUE,RNA,RNaseH1,SRX2675019_HKE293-DRBand-V5ChIP-Rep2,40,GSM2551013,Fu,HS,HEK293T,D210N,DRB,D210N,2,None,SON,SRX2675019,R-ChIP,R-ChIP_HEK293T_Fu_D210N_SRX2675019,0.153918144648099,1,0.747318321025908,0.699000856078258,0.173017231442156,-1.68518340833581,7.39665774233273,unbiased,-5000,5000,0,-22.7673665739658,1043.74839692488,-0.160794908220528,10.0745182258388,unbiased,2.699837725867246,       29.000, 26895147.000,       -2.012,       50.153,        1.000,  4082931.000,       -4.150,       14.838,        0.000,   108078.000,       -0.556,        0.470,        0.000,    97618.000,       -0.511,        0.425,       86.000,  7092659.000,        1.479,      -35.846,      226.000, 32624770.000,        0.671,      -24.015,      712.000,628890208.000,       -1.942,     1252.462,        0.000,   262133.000,       -1.098,        1.140,       36.000,378393932.000,       -5.515,     1581.850,        0.000,   359856.000,       -1.359,        1.565,       35.000,    95335.000,        6.399,     -123.394,       16.000,  2121737.000,        0.794,       -3.620,       14.000, 99198357.000,       -4.946,      378.411,      600.000, 37350990.000,        1.885,     -357.563,     1129.000,655585757.000,       -1.337,      815.959,      537.000,746087299.000,       -2.595,     2083.711,     7575.000, 36255534.000,        5.586,   -24594.804,      527.000,  2612552.000,        5.535,    -1520.564,        0.000,      357.000,       -0.002,        0.002,        0.000,   122197.000,       -0.615,        0.532,     1441.000,  8991946.000,        5.203,    -3877.098,       35.000,  5416801.000,        0.571,       -4.126,       87.000,258714784.000,       -3.693,      861.926,      127.000, 34231159.000,       -0.229,        3.312,        6.000,   313948.000,        2.136,       -5.866,        0.000,   713653.000,       -2.037,        3.104,       16.000, 74671450.000,       -4.343,      266.536,        0.000,   215961.000,       -0.956,        0.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  690.0,20410.0,13237.0,12721.0,   95.0,   38.4,13927.0,33131.0,12654603,12448581,98.4,0.438563,40,9833319,78.99148505359767,2713731,21.799520764655828
