#'chr'	'start'	'end'	'SRX1070676_NT2_DRIPc-seq_rep_1.hg38.bw'	'SRX1070677_NT2_DRIPc-seq_rep_2.hg38.bw'	'SRX1070678_NT2_DRIP-seq_1.hg38.bw'	'SRX1070679_NT2_DRIP-seq_2.hg38.bw'	'SRX1070680_NT2_DRIP-seq_RNaseA.hg38.bw'	'SRX1070681_NT2_DRIP-seq_RNaseH.hg38.bw'	'SRX255721_NT2_DRIP-seq_1.hg38.bw'	'SRX255723_NT2_DRIP-seq_2_rep_1.hg38.bw'	'SRX255724_NT2_DRIP-seq_2_rep_2.hg38.bw'
chr1	67670000	67671000	0.06	0.04	0.43	0.0	0.26	0.2	0.25	0.47	0.61
chr1	67671000	67672000	0.0	0.06	0.52	0.07	0.09	0.22	0.33	0.14	0.23
chr1	67672000	67673000	0.05	0.0	0.47	0.23	0.57	0.22	0.41	0.32	0.3
chr1	67673000	67674000	0.0	0.06	0.3	0.12	0.58	0.6	0.22	0.52	0.55
chr1	67674000	67675000	0.0	0.0	0.22	0.47	0.65	1.09	0.38	0.5	0.28
chr1	67675000	67676000	0.0	0.0	0.52	0.12	0.63	0.6	0.27	0.41	0.18
chr1	67676000	67677000	0.06	0.12	0.31	0.06	0.32	0.55	0.15	0.21	0.29
chr1	67677000	67678000	0.18	0.22	0.29	0.24	0.54	0.11	0.17	0.13	0.05
chr1	67678000	67679000	0.24	0.0	0.32	0.18	0.33	0.0	0.13	0.26	0.43
chr1	67679000	67680000	0.06	0.0	0.18	0.0	0.29	0.38	0.38	0.4	0.2
chr1	67680000	67681000	0.06	0.0	0.23	0.24	1.2	1.2	0.47	0.66	0.43
chr1	67681000	67682000	0.0	0.0	0.36	0.12	1.15	0.89	0.31	0.26	0.21
chr1	67682000	67683000	0.11	0.06	0.82	0.12	1.39	1.64	0.1	0.1	0.2
chr1	67683000	67684000	0.12	0.12	0.56	0.53	0.31	0.32	0.29	0.15	0.39
chr1	67684000	67685000	0.81	0.66	16.53	7.51	26.45	1.3	2.21	1.67	1.37
chr1	67685000	67686000	5.71	4.37	18.3	11.25	23.98	1.2	3.17	3.19	1.91
chr1	67686000	67687000	7.14	6.53	18.07	13.31	31.01	1.91	4.54	3.4	1.42
chr1	67687000	67688000	15.1	13.08	19.74	9.36	33.76	1.48	1.13	1.21	0.67
chr1	67688000	67689000	11.27	7.69	20.05	6.9	32.06	1.36	0.96	0.3	0.31
chr1	67689000	67690000	1.24	0.61	2.33	0.77	0.67	0.32	0.67	0.31	0.32
chr1	67690000	67691000	1.39	1.02	0.44	0.3	0.92	0.33	0.14	0.26	0.53
chr1	67691000	67692000	0.43	0.54	1.02	0.65	1.04	0.41	0.32	0.24	0.21
chr1	67692000	67693000	0.11	0.06	0.95	0.24	0.78	0.54	0.31	0.3	0.38
chr1	67693000	67694000	0.14	0.12	0.3	0.16	0.46	1.01	0.16	0.39	0.48
chr1	67694000	67695000	0.15	0.16	0.87	1.0	0.7	0.54	0.21	0.67	0.67
chr1	67695000	67696000	0.24	0.06	0.62	0.17	1.34	0.21	0.39	0.37	0.61
chr1	67696000	67697000	0.24	0.06	0.68	0.31	0.82	0.55	0.28	0.63	0.62
chr1	67697000	67698000	0.23	0.29	0.6	0.47	1.04	0.65	0.21	0.38	0.1
chr1	67698000	67699000	0.3	0.0	0.94	0.31	1.11	0.22	0.36	0.18	0.29
chr1	67699000	67700000	0.3	0.06	4.13	0.22	3.57	0.64	0.68	0.61	0.42
chr1	67700000	67701000	1.81	2.14	5.38	4.45	7.59	0.44	1.01	1.16	0.53
chr1	67701000	67702000	2.25	1.29	4.68	4.41	5.18	0.43	1.05	0.89	1.0
chr1	67702000	67703000	1.16	1.63	0.34	0.6	0.81	0.32	0.26	0.45	0.4
chr1	67703000	67704000	1.75	1.3	0.48	0.76	0.8	0.35	0.2	0.52	0.58
chr1	67704000	67705000	1.22	0.82	0.84	1.24	0.94	0.43	0.53	0.27	0.43
chr1	67705000	67706000	0.64	0.06	0.66	0.78	0.43	0.59	0.15	0.43	0.24
chr1	67706000	67707000	0.24	0.11	0.72	0.42	0.12	0.4	0.21	0.27	0.36
chr1	67707000	67708000	0.39	0.39	0.89	0.64	0.85	0.23	0.5	0.46	0.31
chr1	67708000	67709000	0.24	0.27	1.33	0.95	1.96	0.28	0.29	0.3	0.42
chr1	67709000	67710000	0.44	0.2	0.99	0.98	1.34	0.24	0.13	0.5	0.21
chr1	67710000	67711000	0.59	0.41	0.76	0.5	1.6	0.22	0.21	0.14	0.04
chr1	67711000	67712000	0.24	0.23	0.64	0.63	0.57	0.44	0.32	0.42	0.33
chr1	67712000	67713000	0.06	0.06	0.57	0.32	0.83	0.22	0.04	0.1	0.46
chr1	67713000	67714000	0.17	0.23	2.59	0.59	2.34	0.66	0.42	0.77	0.68
chr1	67714000	67715000	0.36	0.33	2.61	1.07	3.17	1.42	0.48	0.69	0.49
chr1	67715000	67716000	0.27	0.52	1.12	1.16	1.83	0.61	0.36	0.46	0.22
chr1	67716000	67717000	0.73	0.55	1.07	1.09	0.8	0.69	0.41	0.54	0.28
chr1	67717000	67718000	0.47	0.27	1.17	1.07	1.19	0.55	0.27	0.41	0.3
chr1	67718000	67719000	1.52	1.42	0.86	0.91	0.97	0.49	0.18	0.6	0.28
chr1	67719000	67720000	0.56	0.41	0.95	0.97	1.08	0.72	0.34	0.2	0.31
chr1	67720000	67721000	0.28	0.36	0.24	0.18	0.38	0.41	0.21	0.1	0.2
chr1	67721000	67722000	0.39	0.24	0.72	0.44	0.52	0.38	0.42	0.73	0.44
chr1	67722000	67723000	0.69	0.57	0.43	0.55	0.2	0.53	0.56	0.73	0.43
chr1	67723000	67724000	0.62	0.35	0.63	0.22	0.54	0.5	0.36	0.5	0.4
chr1	67724000	67725000	0.69	0.3	0.45	0.39	0.77	0.57	0.26	0.55	0.62
chr1	67725000	67726000	0.3	0.11	0.72	0.37	0.6	0.27	0.05	0.42	0.11
chr1	67726000	67727000	0.47	0.07	0.24	0.48	0.21	0.55	0.26	0.42	0.21
chr1	67727000	67728000	0.53	0.46	0.41	0.38	0.12	0.42	0.16	0.28	0.17
chr1	67728000	67729000	0.92	0.87	1.0	1.91	2.59	0.47	0.31	0.67	0.19
chr1	67729000	67730000	1.13	1.1	2.17	1.76	2.41	0.31	0.16	0.45	0.63
chr1	67730000	67731000	1.24	0.79	1.44	1.78	1.28	0.21	0.37	0.49	0.36
chr1	67731000	67732000	1.27	1.27	2.03	0.45	1.13	0.88	0.65	0.69	0.6
chr1	67732000	67733000	1.14	0.84	1.98	1.58	1.4	0.51	0.41	0.45	0.32
chr1	67733000	67734000	1.31	1.25	3.46	1.05	2.37	0.77	0.54	0.28	0.36
chr1	67734000	67735000	0.42	0.65	3.26	1.24	2.45	0.88	0.59	0.64	0.29
chr1	67735000	67736000	1.47	0.94	1.52	0.63	1.0	0.22	0.3	0.37	0.61
chr1	67736000	67736070	0.0	2.857142857142857	1.8571428571428572	0.5714285714285714	0.7142857142857143	0.0	0.0	1.4285714285714286	0.14285714285714285
chr1	108651120	108652000	0.06818181818181818	0.0	0.45454545454545453	0.0	0.25	0.25	0.22727272727272727	0.2159090909090909	0.0
chr1	108652000	108653000	0.06	0.0	0.24	0.24	0.36	0.73	0.81	0.34	0.26
chr1	108653000	108654000	0.18	0.0	0.3	0.06	0.34	0.37	0.23	0.36	0.43
chr1	108654000	108655000	0.06	0.0	0.36	0.05	0.73	0.22	0.11	0.27	0.43
chr1	108655000	108656000	0.0	0.0	0.12	0.11	0.43	0.0	0.2	0.46	0.25
chr1	108656000	108657000	0.12	0.12	0.3	0.21	1.08	0.63	0.32	0.31	0.22
chr1	108657000	108658000	0.0	0.06	0.24	0.27	3.2	0.35	0.61	0.38	0.16
chr1	108658000	108659000	0.0	0.12	0.4	0.0	1.84	0.55	0.45	0.35	0.21
chr1	108659000	108660000	0.0	0.0	0.53	0.28	0.42	0.68	0.22	0.49	0.21
chr1	108660000	108661000	0.13	0.0	0.37	0.02	1.54	0.41	0.69	0.26	0.48
chr1	108661000	108662000	0.05	0.06	0.37	0.41	1.28	0.38	0.68	0.22	0.6
chr1	108662000	108663000	0.0	0.11	0.64	0.24	0.77	0.16	0.1	0.68	0.24
chr1	108663000	108664000	0.0	0.0	0.47	0.07	0.81	0.44	0.08	0.49	0.5
chr1	108664000	108665000	0.0	0.0	0.42	0.29	0.34	0.58	0.44	0.42	0.21
chr1	108665000	108666000	0.0	0.0	0.24	0.24	0.89	0.61	0.34	0.11	0.05
chr1	108666000	108667000	0.0	0.0	0.3	0.24	1.2	0.0	0.22	0.42	0.11
chr1	108667000	108668000	0.0	0.0	0.3	0.24	1.09	0.11	0.15	0.26	0.06
chr1	108668000	108669000	0.0	0.06	0.24	0.12	1.04	0.1	0.1	0.21	0.1
chr1	108669000	108670000	0.0	0.0	0.3	0.18	2.02	0.42	0.15	0.35	0.31
chr1	108670000	108671000	0.0	0.0	0.48	0.39	1.57	0.27	0.16	0.43	0.24
chr1	108671000	108672000	0.06	0.0	0.12	0.56	0.79	0.29	0.0	0.59	0.43
chr1	108672000	108673000	0.06	0.0	0.66	0.24	0.25	0.74	0.15	0.62	0.55
chr1	108673000	108674000	0.06	0.0	0.22	0.28	0.53	0.37	0.35	0.2	0.42
chr1	108674000	108675000	0.11	0.0	0.06	0.06	0.3	0.5	0.05	0.36	0.37
chr1	108675000	108676000	0.0	0.06	0.06	0.0	0.14	0.24	0.0	0.07	0.15
chr1	108676000	108677000	0.0	0.0	0.12	0.12	0.41	0.1	0.05	0.11	0.1
chr1	108677000	108678000	0.06	0.0	0.3	0.06	0.25	0.23	0.0	0.25	0.2
chr1	108678000	108679000	0.0	0.0	0.29	0.18	0.11	0.33	0.09	0.29	0.45
chr1	108679000	108680000	0.0	0.0	0.68	0.41	0.32	0.16	0.42	0.57	0.41
chr1	108680000	108681000	0.06	0.12	0.3	0.0	0.33	0.39	0.4	0.42	0.17
chr1	108681000	108682000	0.06	0.0	0.53	0.18	0.21	0.11	0.22	0.44	0.32
chr1	108682000	108683000	0.1	0.0	0.3	0.29	0.22	0.44	0.16	0.35	0.25
chr1	108683000	108684000	0.0	0.05	0.17	0.18	0.54	0.4	0.22	0.3	0.12
chr1	108684000	108685000	0.0	0.17	0.51	0.3	0.54	0.22	0.1	0.35	0.31
chr1	108685000	108686000	0.0	0.06	0.18	0.77	0.32	0.44	0.21	0.48	0.53
chr1	108686000	108687000	0.05	0.06	0.06	0.24	0.18	0.0	0.05	0.3	0.21
chr1	108687000	108688000	0.02	0.0	0.45	0.29	0.48	0.66	0.38	0.42	0.32
chr1	108688000	108689000	0.23	0.06	1.2	0.22	0.84	0.54	0.24	0.46	0.32
chr1	108689000	108690000	0.52	0.0	3.7	0.35	1.2	0.77	0.2	0.05	0.56
chr1	108690000	108691000	0.64	0.34	16.63	0.78	12.48	1.41	2.08	0.49	0.43
chr1	108691000	108692000	0.47	0.22	19.07	1.03	15.28	0.65	2.18	0.54	0.63
chr1	108692000	108693000	0.54	0.27	16.6	5.72	12.43	0.54	1.94	1.27	1.07
chr1	108693000	108694000	4.33	2.73	5.31	6.81	3.71	0.11	1.02	1.43	0.81
chr1	108694000	108695000	3.78	3.75	0.9	6.96	1.9	0.63	0.29	0.65	0.73
chr1	108695000	108696000	3.83	3.14	1.18	4.13	2.0	0.43	0.15	0.37	0.49
chr1	108696000	108697000	15.82	11.82	3.06	6.63	2.85	0.26	0.52	0.38	0.34
chr1	108697000	108698000	13.19	9.64	3.39	6.19	2.25	0.53	0.34	0.91	0.19
chr1	108698000	108699000	17.26	16.8	6.11	5.42	3.96	0.71	0.41	0.81	0.41
chr1	108699000	108700000	29.31	20.52	14.46	15.96	20.43	1.38	1.37	2.16	1.17
chr1	108700000	108701000	13.37	12.1	4.5	24.03	6.63	0.75	0.43	2.54	1.53
chr1	108701000	108702000	19.98	14.66	3.85	24.64	3.01	0.65	0.16	2.22	1.46
chr1	108702000	108703000	5.63	4.06	3.58	11.44	3.41	0.32	0.53	1.02	0.61
chr1	108703000	108704000	0.66	0.81	1.33	3.77	2.92	0.11	0.45	0.38	0.22
chr1	108704000	108705000	0.18	0.3	0.63	5.96	0.32	0.31	0.47	0.35	0.69
chr1	108705000	108706000	0.29	0.12	0.71	0.32	0.55	0.11	0.49	0.24	0.37
chr1	108706000	108707000	0.12	0.0	0.7	0.0	0.96	0.32	0.45	0.46	0.14
chr1	108707000	108708000	0.12	0.05	0.4	0.23	0.27	0.11	0.27	0.48	0.16
chr1	108708000	108709000	0.06	0.12	0.6	0.48	0.16	0.42	0.11	0.15	0.21
chr1	108709000	108710000	0.15	0.18	0.26	0.65	0.3	0.33	0.27	0.25	0.32
chr1	108710000	108711000	0.02	0.0	0.65	0.06	0.71	0.25	0.25	0.32	0.48
chr1	108711000	108712000	0.12	0.06	0.34	0.11	1.13	0.89	0.44	0.72	0.34
chr1	108712000	108713000	0.06	0.11	0.34	0.24	0.67	0.32	0.42	0.36	0.32
chr1	108713000	108714000	0.06	0.01	0.46	0.24	0.87	0.28	0.46	0.31	0.41
chr1	108714000	108715000	0.12	0.06	0.43	0.18	0.33	0.33	0.11	0.21	0.36
chr1	108715000	108716000	0.12	0.06	0.2	0.11	0.13	0.55	0.69	0.31	0.46
chr1	108716000	108717000	0.0	0.12	0.46	0.23	1.08	0.44	0.34	0.3	0.32
chr1	108717000	108718000	0.0	0.06	0.62	0.38	0.76	0.43	0.35	0.25	0.14
chr1	108718000	108719000	0.17	0.24	0.51	0.26	0.11	0.33	0.07	0.32	0.25
chr1	108719000	108720000	0.06	0.06	0.67	0.4	0.04	0.24	0.15	0.66	0.47
chr1	108720000	108721000	0.0	0.06	0.59	0.23	0.62	0.41	0.8	1.02	0.81
chr1	108721000	108722000	0.06	0.0	0.46	0.23	0.1	0.65	0.48	0.51	1.04
chr1	108722000	108723000	0.18	0.0	0.22	0.12	0.33	0.66	0.05	1.08	0.81
chr1	108723000	108724000	0.18	0.12	0.18	0.35	0.44	0.32	0.25	0.88	0.55
chr1	108724000	108725000	0.0	0.12	0.36	0.53	0.22	0.3	0.26	0.52	0.5
chr1	108725000	108726000	0.11	0.0	0.32	0.46	0.11	0.33	0.11	0.31	0.21
chr1	108726000	108727000	0.16	0.06	0.56	0.18	0.21	0.66	0.1	0.41	0.31
chr1	108727000	108728000	0.17	0.09	0.47	0.31	0.33	0.11	0.48	0.4	0.2
chr1	108728000	108729000	0.11	0.03	0.25	0.34	0.44	0.28	0.24	0.33	0.29
chr1	108729000	108730000	0.06	0.06	0.34	0.24	0.22	0.18	0.21	0.3	0.38
chr1	108730000	108731000	0.0	0.11	0.37	0.06	0.33	0.26	0.48	0.26	0.28
chr1	108731000	108732000	0.06	0.0	0.43	0.29	0.32	0.34	0.22	0.21	0.32
chr1	108732000	108733000	0.12	0.0	0.09	0.18	0.33	0.4	0.16	0.26	0.24
chr1	108733000	108734000	0.06	0.12	0.4	0.16	0.44	0.43	0.41	0.32	0.35
chr1	108734000	108735000	0.06	0.18	0.36	0.18	0.65	0.66	0.28	0.66	0.45
chr1	108735000	108736000	0.11	0.06	0.23	0.06	0.22	0.76	0.12	0.4	0.28
chr1	108736000	108737000	0.0	0.0	0.6	0.18	0.54	0.66	0.38	0.52	0.48
chr1	108737000	108738000	0.0	0.0	0.22	0.39	0.54	0.53	0.25	0.22	0.2
chr1	108738000	108739000	0.24	0.0	0.62	0.2	0.11	0.3	0.15	0.38	0.24
chr1	108739000	108740000	0.0	0.05	0.54	0.08	0.22	0.57	0.31	0.53	0.4
chr1	108740000	108741000	0.05	0.0	0.45	0.4	0.12	0.35	0.3	0.29	0.11
chr1	108741000	108742000	0.12	0.0	0.41	0.02	0.32	0.53	0.54	0.54	0.63
chr1	108742000	108743000	0.17	0.12	0.24	0.22	0.22	0.32	0.19	0.2	0.36
chr1	108743000	108744000	0.06	0.0	0.29	0.24	0.32	0.33	0.2	0.21	0.32
chr1	108744000	108745000	0.11	0.12	0.94	0.39	0.33	0.21	0.15	0.31	0.29
chr1	108745000	108746000	0.12	0.12	2.2	1.62	1.59	0.65	0.32	0.17	0.33
chr1	108746000	108747000	0.34	0.18	6.09	2.76	4.12	0.11	0.85	0.73	0.44
chr1	108747000	108748000	1.83	1.3	4.65	3.32	1.88	0.44	0.7	0.61	0.79
chr1	108748000	108749000	1.86	1.01	5.42	2.39	3.98	0.54	0.35	0.45	0.41
chr1	108749000	108750000	0.86	0.75	2.62	1.39	0.97	0.48	0.32	0.39	0.24
chr1	108750000	108751000	0.16	0.32	0.32	1.23	0.35	0.49	0.11	0.28	0.15
chr1	108751000	108751120	0.5	0.3333333333333333	0.5	0.5833333333333334	0.0	1.8333333333333333	0.0	0.25	0.0
chr1	114340674	114341000	0.4171779141104294	0.0	0.4171779141104294	0.50920245398773	0.50920245398773	1.2760736196319018	0.4785276073619632	0.6012269938650306	0.15337423312883436
chr1	114341000	114342000	0.11	0.0	0.9	0.17	0.42	0.31	0.21	0.72	0.4
chr1	114342000	114343000	0.06	0.0	0.33	0.42	0.11	0.5	0.6	0.48	0.38
chr1	114343000	114344000	0.0	0.16	0.38	0.12	0.55	0.8	0.31	0.35	0.11
chr1	114344000	114345000	0.06	0.12	0.66	0.11	1.55	0.57	0.16	0.43	0.59
chr1	114345000	114346000	0.06	0.0	0.68	1.28	0.8	0.96	0.54	0.49	0.5
chr1	114346000	114347000	0.13	0.12	1.51	1.27	0.61	0.98	0.57	1.08	0.78
chr1	114347000	114348000	0.11	0.0	0.18	0.18	0.25	0.22	0.18	0.86	0.81
chr1	114348000	114349000	0.17	0.25	0.35	0.23	0.77	0.25	0.34	0.42	0.54
chr1	114349000	114350000	0.18	0.05	0.71	0.48	0.32	0.71	0.33	0.28	0.34
chr1	114350000	114351000	0.0	0.0	0.83	0.48	0.73	0.97	0.5	0.3	0.22
chr1	114351000	114352000	0.0	0.0	0.48	0.29	0.52	0.32	0.38	0.41	0.25
chr1	114352000	114353000	0.0	0.0	0.68	0.37	0.22	0.65	0.6	0.43	0.61
chr1	114353000	114354000	0.18	0.06	1.01	0.41	0.59	0.88	0.72	0.49	0.52
chr1	114354000	114355000	0.06	0.06	0.4	0.28	1.71	0.62	0.48	0.79	0.76
chr1	114355000	114356000	0.0	0.0	0.67	0.12	0.45	0.45	0.4	0.46	0.61
chr1	114356000	114357000	0.0	0.06	0.3	0.3	0.81	0.08	0.41	0.12	0.01
chr1	114357000	114358000	0.13	0.0	0.26	0.3	0.63	0.98	0.44	0.31	0.31
chr1	114358000	114359000	0.11	0.0	0.53	0.41	0.51	0.43	0.37	0.7	0.49
chr1	114359000	114360000	0.11	0.0	0.24	0.12	0.22	0.44	0.1	0.42	0.4
chr1	114360000	114361000	0.06	0.06	0.18	0.1	0.22	1.38	0.26	0.49	0.53
chr1	114361000	114362000	0.0	0.0	0.36	0.28	0.33	0.71	0.07	0.28	0.56
chr1	114362000	114363000	0.06	0.0	0.65	0.39	1.24	1.86	0.38	0.35	0.36
chr1	114363000	114364000	0.0	0.0	0.27	0.24	0.17	0.43	0.26	0.04	0.05
chr1	114364000	114365000	0.06	0.06	0.21	0.63	0.11	0.66	0.12	0.23	0.01
chr1	114365000	114366000	0.0	0.06	0.36	0.43	0.32	0.44	0.0	0.24	0.24
chr1	114366000	114367000	0.09	0.0	0.18	0.06	0.65	0.11	0.0	0.11	0.11
chr1	114367000	114368000	0.36	0.18	0.3	0.28	1.35	0.11	0.33	0.36	0.31
chr1	114368000	114369000	0.45	0.24	0.49	0.8	0.54	0.72	0.43	0.38	0.17
chr1	114369000	114370000	0.0	0.06	0.46	0.24	0.28	0.41	0.28	0.25	0.27
chr1	114370000	114371000	0.03	0.06	0.23	0.12	0.44	0.6	0.25	0.48	0.21
chr1	114371000	114372000	0.02	0.0	0.17	0.06	0.32	0.33	0.23	0.2	0.36
chr1	114372000	114373000	0.06	0.1	0.17	0.24	0.22	0.33	0.39	0.4	0.26
chr1	114373000	114374000	0.03	0.02	0.42	0.0	0.11	0.65	0.1	0.3	0.27
chr1	114374000	114375000	0.03	0.05	0.33	0.24	0.22	0.43	0.11	0.35	0.36
chr1	114375000	114376000	0.0	0.0	0.3	0.12	0.63	0.65	0.35	0.3	0.31
chr1	114376000	114377000	0.12	0.06	0.36	0.2	0.11	0.11	0.26	0.15	0.66
chr1	114377000	114378000	0.18	0.06	0.42	0.15	0.2	0.16	0.33	0.06	0.34
chr1	114378000	114379000	0.0	0.06	0.36	0.3	0.54	0.49	0.72	0.22	0.3
chr1	114379000	114380000	0.05	0.0	0.47	0.31	0.21	1.19	0.16	0.2	0.25
chr1	114380000	114381000	0.21	0.18	0.41	0.34	0.4	0.51	0.15	0.26	0.15
chr1	114381000	114382000	0.21	0.12	1.64	0.83	1.63	0.54	0.35	0.6	0.3
chr1	114382000	114383000	1.51	0.7	1.33	0.51	1.0	1.03	0.63	0.22	0.15
chr1	114383000	114384000	1.04	0.71	1.71	0.9	0.69	0.38	0.47	0.22	0.16
chr1	114384000	114385000	1.8	0.75	2.64	0.83	0.89	0.78	0.31	0.32	0.5
chr1	114385000	114386000	2.12	1.98	8.21	2.8	3.34	1.24	0.45	0.21	0.36
chr1	114386000	114387000	7.92	5.98	8.98	6.33	5.42	1.26	0.47	0.7	0.39
chr1	114387000	114388000	3.2	2.35	8.54	7.43	4.71	0.67	0.58	0.89	0.72
chr1	114388000	114389000	12.94	7.62	6.26	7.13	4.43	0.73	0.31	1.08	0.65
chr1	114389000	114390000	12.69	9.08	7.03	7.49	3.46	0.7	0.69	0.92	0.96
chr1	114390000	114391000	16.45	11.29	4.66	7.87	3.8	0.31	0.35	0.75	1.14
chr1	114391000	114392000	11.27	7.62	4.71	7.21	5.82	0.63	0.22	0.92	0.95
chr1	114392000	114393000	3.32	2.33	7.78	2.06	15.95	1.05	0.25	0.62	0.55
chr1	114393000	114394000	0.77	0.49	4.69	2.87	6.39	0.71	0.36	0.48	0.3
chr1	114394000	114395000	0.49	0.58	0.6	2.16	0.8	0.44	0.2	0.25	0.37
chr1	114395000	114396000	0.64	0.59	0.57	0.52	1.18	0.11	0.2	0.35	0.31
chr1	114396000	114397000	0.58	0.28	0.61	0.63	0.48	0.22	0.11	0.47	0.21
chr1	114397000	114398000	0.95	0.41	0.58	0.53	0.53	0.66	0.21	0.3	0.1
chr1	114398000	114399000	0.76	0.47	0.14	0.59	0.53	0.55	0.47	0.35	0.55
chr1	114399000	114400000	0.36	0.18	0.47	0.71	1.0	0.33	0.3	0.41	0.21
chr1	114400000	114401000	0.66	0.35	1.22	0.91	0.76	0.21	0.25	0.37	0.57
chr1	114401000	114402000	0.77	0.82	1.06	0.47	0.88	0.64	0.2	0.56	0.53
chr1	114402000	114403000	0.87	0.67	0.89	1.06	0.78	0.24	0.55	0.63	0.6
chr1	114403000	114404000	1.06	0.5	3.54	1.25	3.3	0.52	0.48	0.85	0.59
chr1	114404000	114405000	1.35	0.83	1.19	0.94	1.41	0.61	0.35	0.44	0.68
chr1	114405000	114406000	3.52	2.4	1.29	1.4	0.76	0.38	0.42	0.62	0.5
chr1	114406000	114407000	3.39	1.53	1.67	1.14	1.53	0.44	0.14	0.38	0.67
chr1	114407000	114408000	2.08	1.62	1.05	0.96	0.88	0.38	0.48	0.34	0.79
chr1	114408000	114409000	1.49	1.62	0.71	1.03	1.35	0.49	0.13	0.46	0.51
chr1	114409000	114410000	1.49	1.41	4.01	1.25	6.07	0.22	0.64	0.41	0.72
chr1	114410000	114411000	2.44	1.89	3.91	1.35	5.99	0.98	0.54	0.46	0.36
chr1	114411000	114412000	0.77	0.35	4.18	1.34	2.82	0.71	0.26	0.45	0.37
chr1	114412000	114413000	0.24	0.35	1.46	1.64	1.02	0.34	0.42	0.63	0.57
chr1	114413000	114414000	0.05	0.18	0.13	0.45	0.62	1.36	0.6	0.63	0.64
